Year,Coal,Oil,Natural gas,Other,MT CO2
1990,2937,1679,266,3,MT CO2
1995,3802,2134,392,6,MT CO2
2000,4174,2359,537,12,MT CO2
2005,6593,2606,727,20,MT CO2
2010,9164,2827,1073,60,MT CO2
2015,10579,3279,1254,74,MT CO2
2017,10721,3451,1362,95,MT CO2
