Year,Coal,Oil,Natural gas,Other,MT CO2
1990,899,777,1026,,MT CO2
1995,603,426,856,14,MT CO2
2000,525,391,846,18,MT CO2
2005,523,365,928,20,MT CO2
2010,550,370,1005,24,MT CO2
2015,568,419,985,28,MT CO2
2017,552,413,1008,31,MT CO2
