Year,Coal,Oil,Natural gas,Other,MT CO2
1990,58,422,104,null,MT CO2
1995,62,501,125,null,MT CO2
2000,79,577,171,null,MT CO2
2005,80,614,218,null,MT CO2
2010,99,723,270,null,MT CO2
2015,132,777,305,null,MT CO2
2017,125,734,289,null,MT CO2
