Year,Coal,Oil,Natural gas,Other,MT CO2
1990,2225,2023,907,20,MT CO2
1995,1744,1883,948,30,MT CO2
2000,1579,1838,1101,30,MT CO2
2005,1577,1861,1246,37,MT CO2
2010,1473,1670,1255,54,MT CO2
2015,1366,1545,1033,64,MT CO2
2017,1251,1595,1131,68,MT CO2
