Year,Coal,Oil,Natural gas,Other,MT CO2
1990,8296,8505,3677,44,MT CO2
1995,8516,8807,3981,83,MT CO2
2000,8946,9640,4551,103,MT CO2
2005,11464,10307,5197,106,MT CO2
2010,13807,10545,6057,162,MT CO2
2015,14635,11150,6456,189,MT CO2
2017,14502,11377,6743,218,MT CO2
