Year,Coal,Oil,Natural gas,Other,MT CO2
1990,1948,2349,1162,20,MT CO2
1995,2062,2377,1343,32,MT CO2
2000,2324,2761,1479,41,MT CO2
2005,2338,2833,1457,28,MT CO2
2010,2129,2576,1593,24,MT CO2
2015,1594,2497,1815,21,MT CO2
2017,1444,2492,1799,20,MT CO2
